Artist,Title,Youtube URL,Year,Album,START,END
"Sofia Tukker, María Merender & Sophia A",Veneno,https://www.youtube.com/watch?v=notKGLbNYFM,,,,
Sopor Aeternus, In Der Palästra,https://www.youtube.com/watch?v=XwsJlUdklmk,,,0:00:09,0:08:10
Steve Conte & Yoko Kanno,True Love (Brain Powerd Opening),https://www.youtube.com/watch?v=hQnWeBtWcIQ,,,,
Stromae,Carmen,https://www.youtube.com/watch?v=UKftOH54iNU,,,,
Stromae,Formidable,https://www.youtube.com/watch?v=P__34xBpNIA,,,,
Stromae & Pomme,Ma Meilleure Ennemie,https://www.youtube.com/watch?v=1F3OGIFnW1k,,,,
Susumu Hirasawa,Yume no Shima Shinen Kouen (Paranoia Agent Opening),https://www.youtube.com/watch?v=9aE5MFaDQ2E,,,,
System of a Down,Aerials,https://www.youtube.com/watch?v=zk62uUqcNyo,2001,Toxicity,,
System of a Down,Chop Suey!,https://www.youtube.com/watch?v=CSvFpBOe8eY,2001,Toxicity,,
System of a Down,Lonely Day,https://www.youtube.com/watch?v=DnGdoEa1tPg,2006,,,
System of a Down,Toxicity,https://www.youtube.com/watch?v=iywaBOMvYLI,2001,Toxicity,,
The Chemical Brothers,Elektrobank,https://www.youtube.com/watch?v=OeAZyu2zh0Q,1997,Dig Your Own Hole,,
The Crystal Method,Blowout,https://www.youtube.com/watch?v=ex5ydFrvFZE,1999,Tweekend,,
The Dubliners,Molly Malone,https://www.youtube.com/watch?v=iT-IfGokcCI,,,,
The Killers,Mr. Brightside,https://www.youtube.com/watch?v=gGdGFtwCNBE,2003,Hot Fuss,,
The Prodigy,Climbatize,https://www.youtube.com/watch?v=HuZTEsvgQko,1997,The Fat of the Land,,
The Prodigy,Narayan,https://www.youtube.com/watch?v=bzVjZu4fl4o,1997,The Fat of the Land,,
The Prodigy,Omen,https://www.youtube.com/watch?v=ySfbujeCSvI,2009,Invaders Must Die,,
The Prodigy,Wild Frontier,https://www.youtube.com/watch?v=GVV06jTYjeY,2015,The Day Is My Enemy,,
